cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,região,total
261.085.973-21,20:12,27/08/2022,Leite,12.3,6,3,Evelyn,cartão_debito,Espírito Santo,73.8
179.504.268-02,14:39,21/08/2022,Feijão,15.5,8,19,Cecília,cartão_debito,Rio de Janeiro,124.0
158.403.962-06,11:00,12/08/2022,Arroz,21.7,4,14,Julia,cartão_debito,Rio Grande do Sul,86.8
176.058.429-02,14:51,13/08/2022,Leite,12.3,2,21,Elisa,cartão_credito,São Paulo,24.6
807.953.164-10,09:08,19/08/2022,Feijão,15.5,8,15,Evelyn,pix,São Paulo,124.0
764.023.895-10,21:31,06/08/2022,Feijão,15.5,9,9,Elisa,cartão_credito,Bahia,139.5
953.812.740-41,15:39,08/08/2022,Açúcar,25.5,9,9,Elisa,dinheiro,Espírito Santo,229.5
602.159.748-67,17:36,14/08/2022,Carne,37.0,8,6,Elisa,cartão_credito,Minas Gerais,296.0
702.589.631-40,22:29,05/08/2022,Açúcar,25.5,3,7,Julia,cartão_credito,Rio de Janeiro,76.5
621.708.943-22,10:54,30/08/2022,Feijão,15.5,3,12,Evelyn,dinheiro,Espírito Santo,46.5
253.681.947-73,11:28,20/08/2022,Açúcar,25.5,2,5,Cecília,pix,Minas Gerais,51.0
192.468.375-09,14:32,24/08/2022,Arroz,21.7,9,16,Brenda,dinheiro,São Paulo,195.3
192.468.375-09,18:34,08/08/2022,Óleo,18.4,2,18,Evelyn,cartão_credito,Espírito Santo,36.8
786.429.301-87,09:22,14/08/2022,Arroz,21.7,7,16,Julia,cartão_debito,Rio Grande do Sul,151.9
907.162.843-40,20:40,01/08/2022,Leite,12.3,5,19,Cecília,pix,São Paulo,61.5
418.739.052-97,20:12,17/08/2022,Óleo,18.4,8,16,Evelyn,dinheiro,São Paulo,147.2
485.230.967-10,14:37,17/08/2022,Feijão,15.5,3,20,Brenda,cartão_debito,Espírito Santo,46.5
960.278.531-40,20:36,17/08/2022,Açúcar,25.5,7,8,Elisa,pix,São Paulo,178.5
809.376.214-04,16:00,28/08/2022,Açúcar,25.5,1,7,Elisa,cartão_debito,Bahia,25.5
162.043.598-51,22:43,12/08/2022,Açúcar,25.5,2,12,Brenda,pix,Espírito Santo,51.0
843.627.159-91,13:01,09/08/2022,Arroz,21.7,10,7,Julia,pix,Espírito Santo,217.0
